# MJD		u   err	    g     err     r     err    i      err    B      err    V      err
2453457.68   0.000 0.000  18.064 0.019  17.189 0.013  17.150 0.014  18.747 0.031  17.571 0.017  
2453458.66   0.000 0.000  18.115 0.022  17.191 0.013  17.150 0.013  18.749 0.027  17.583 0.019  
2453459.70   0.000 0.000  18.116 0.017  17.198 0.012  17.151 0.013  18.785 0.026  17.611 0.016  
2453464.67   0.000 0.000  18.194 0.014  17.219 0.011  17.214 0.013  18.865 0.016  17.641 0.014  
2453465.68   0.000 0.000  18.197 0.015  17.249 0.012  17.188 0.013  18.900 0.016  17.673 0.014  
2453466.67   0.000 0.000  18.231 0.015  17.259 0.010  17.216 0.013  18.924 0.017  17.663 0.015  
2453468.63   0.000 0.000  18.241 0.014  17.281 0.011  17.233 0.013  18.936 0.016  17.696 0.014  
2453472.63   0.000 0.000  18.330 0.014  17.343 0.011  17.277 0.011  19.067 0.016  17.776 0.014  
2453474.60   0.000 0.000  18.412 0.014  17.348 0.010  17.289 0.011  19.083 0.017  17.815 0.014  
2453478.61   0.000 0.000  18.510 0.016  17.423 0.012  17.346 0.012  19.220 0.022  17.904 0.017  
2453480.61   0.000 0.000  18.586 0.022  17.479 0.012  17.391 0.013  19.293 0.025  17.975 0.020  
2453483.58   0.000 0.000  18.734 0.032  17.537 0.017  17.445 0.014  19.532 0.055  18.092 0.027  
2453489.55   0.000 0.000  19.055 0.016  17.784 0.011  17.657 0.011  19.856 0.022  18.396 0.014  
2453490.54   0.000 0.000  19.169 0.015  17.823 0.011  17.700 0.012  19.951 0.022  18.484 0.013  
2453491.52   0.000 0.000  19.245 0.019  17.896 0.013  17.733 0.015  20.024 0.022  18.542 0.019  
