class,u_mag,g_mag,r_mag,i_mag,z_mag,max_mag
1,18.517517,16.8161,16.217804,15.991133,15.949443,18.517517
1,19.057924,17.814562,17.395422,17.26519,17.277548,19.057924
1,18.62578,17.620932,17.3902,17.329327,17.338968,18.62578
1,19.869886,17.362816,16.249971,15.807895,15.658381,19.869886
1,20.412039,17.848854,16.386599,15.582955,15.18599,20.412039
1,18.964687,17.373672,16.819902,16.589773,16.447655,18.964687
1,18.31374,16.780579,16.283318,16.12479,16.093487,18.31374
1,19.036953,17.90136,17.707554,17.606346,17.714857,19.036953
1,17.318247,16.23003,15.864549,15.725733,15.704926,17.318247
1,17.66699,16.07902,15.538475,15.366304,15.313726,17.66699
1,17.84703,16.625347,16.17405,15.996408,15.917717,17.84703
1,18.89048,16.755863,15.922439,15.633537,15.506411,18.89048
1,18.032488,16.86618,16.488537,16.359398,16.272497,18.032488
1,19.212795,17.986967,17.498785,17.342072,17.261414,19.212795
1,16.984034,15.83876,15.480555,15.334954,15.29448,16.984034
1,17.950193,16.742523,16.330845,16.132423,16.119759,17.950193
1,17.654612,16.599854,16.235828,16.08615,16.074078,17.654612
1,18.966906,16.981459,16.265497,15.917465,15.784346,18.966906
1,19.60099,17.059505,15.932835,15.491552,15.250054,19.60099
1,17.686111,16.209719,15.663004,15.463229,15.367812,17.686111
1,17.757172,16.700733,16.35921,16.203417,16.186184,17.757172
1,19.276587,17.987371,17.488018,17.296738,17.213753,19.276587
1,18.493355,16.787767,16.120825,15.896061,15.761302,18.493355
1,20.045881,17.776724,16.817652,16.51072,16.333801,20.045881
1,18.63267,16.486675,15.55827,15.216899,15.025755,18.63267
1,20.085493,17.741201,16.736818,16.363897,16.070456,20.085493
1,18.182661,16.94478,16.488787,16.326756,16.282894,18.182661
1,18.703098,17.252745,16.70344,16.501076,16.421972,18.703098
1,18.354885,17.151758,16.63982,16.466656,16.38119,18.354885
1,19.182432,17.445623,16.775656,16.6101,16.465021,19.182432
1,19.17387,17.838564,17.323093,17.173243,17.050777,19.17387
1,18.22338,17.105238,16.736319,16.546114,16.621248,18.22338
1,18.803114,17.9481,17.632486,17.525045,17.48078,18.803114
1,19.957733,17.309298,16.152351,15.66451,15.358212,19.957733
1,18.27286,17.379383,17.178343,17.113295,17.079765,18.27286
1,18.528194,16.697409,15.98352,15.748357,15.663429,18.528194
1,18.18995,16.42002,15.820323,15.545712,15.419997,18.18995
1,17.19453,16.03875,15.609221,15.425111,15.339667,17.19453
1,17.103323,16.162455,15.793494,15.687959,15.656246,17.103323
1,20.133139,17.984276,17.196035,16.9323,16.754473,20.133139
1,20.117018,17.576178,16.362057,15.915828,15.66322,20.117018
1,20.306168,17.872198,16.745062,16.295576,16.10247,20.306168
1,18.665688,17.286102,16.737616,16.529915,16.427431,18.665688
1,18.587019,17.412642,16.977331,16.803068,16.708525,18.587019
1,19.070948,17.87086,17.437109,17.266335,17.180649,19.070948
1,18.55214,17.424313,17.096704,16.959898,16.943031,18.55214
1,20.445808,17.97605,16.959364,16.568428,16.381445,20.445808
1,17.85009,16.714724,16.405863,16.308727,16.200249,17.85009
1,18.337051,17.110144,16.664885,16.501646,16.442532,18.337051
1,19.586634,16.984678,15.858336,15.423106,15.203546,19.586634
1,18.762041,17.791168,17.52255,17.434858,17.409597,18.762041
1,18.55274,17.49668,17.157425,17.030163,16.969599,18.55274
1,19.763098,17.881462,17.154879,16.879076,16.74874,19.763098
1,16.957458,15.747527,15.26073,16.333279,15.015157,16.957458
1,18.74792,17.40207,16.882946,16.64446,16.532536,18.74792
1,17.025557,15.768666,15.324935,15.155535,15.131536,17.025557
1,17.130453,16.293938,16.02809,15.935175,15.913962,17.130453
1,18.66778,16.79794,16.02141,15.710502,15.596268,18.66778
1,18.474903,17.33451,16.871738,16.676184,16.647945,18.474903
1,17.06712,15.851478,15.404222,15.286002,15.254862,17.06712
1,18.736149,17.919806,17.612925,17.498848,17.470053,18.736149
1,18.353699,17.195374,16.745367,16.6084,16.545145,18.353699
1,18.378784,16.899918,16.34598,16.163162,16.101406,18.378784
1,18.707293,17.04302,16.36539,16.093658,15.970222,18.707293
1,18.771936,17.14306,16.450327,16.228168,16.118023,18.771936
1,17.558903,16.429363,16.02051,15.880724,15.837339,17.558903
1,18.655272,16.831259,16.15823,15.95657,15.868154,18.655272
1,17.608248,16.459188,16.032925,15.865183,15.832159,17.608248
1,17.393744,16.266655,15.869626,15.724429,15.707621,17.393744
1,16.953535,15.916294,15.553092,15.421179,15.42599,16.953535
1,18.0261,16.727491,16.243711,16.07778,15.996863,18.0261
1,18.04031,16.785666,16.335909,16.194916,16.108496,18.04031
1,20.286177,17.629028,16.257353,15.618394,15.315303,20.286177
1,17.869957,16.430431,15.866571,15.654889,15.649948,17.869957
1,18.791508,17.779402,17.559711,17.446096,17.522373,18.791508
1,18.854757,17.298504,16.766178,16.59927,16.550678,18.854757
1,20.43812,17.774815,16.6383,16.148872,15.81223,20.43812
1,17.950718,16.584387,16.059856,15.860809,15.818509,17.950718
1,17.346218,16.313707,15.905754,15.780612,15.745622,17.346218
1,18.596462,17.431261,17.039665,16.897682,16.825382,18.596462
1,19.538445,17.429354,16.636253,16.378054,16.229136,19.538445
1,20.058283,17.804756,16.962399,16.61906,16.423784,20.058283
1,18.731394,16.699024,15.944524,15.637682,15.467419,18.731394
1,20.385622,17.822584,16.738195,16.304861,16.029547,20.385622
1,19.89655,17.390661,16.22925,15.745769,15.459096,19.89655
1,19.148542,17.895092,17.377132,17.179224,17.073803,19.148542
1,18.74858,17.236235,16.58668,16.333992,16.140661,18.74858
1,18.91128,16.648695,15.704874,15.369082,15.198767,18.91128
1,20.169254,17.824009,16.862085,16.476185,16.25595,20.169254
1,17.089943,16.069687,15.744021,15.630486,15.570364,17.089943
1,17.882587,16.793232,16.440977,16.221056,16.27217,17.882587
1,16.70526,15.845749,15.652268,15.563484,15.563666,16.70526
1,19.107924,17.624435,17.118225,16.92815,16.84391,19.107924
1,19.141214,17.48043,16.810925,16.572857,16.466822,19.141214
1,18.16981,16.239979,15.532351,15.283616,15.169936,18.16981
1,19.471247,17.813854,17.183134,16.95581,16.84203,19.471247
1,18.722591,17.452494,16.995245,16.826551,16.783,18.722591
1,20.10646,17.744728,16.705402,16.300167,16.036114,20.10646
1,18.43626,17.160917,16.768436,16.554504,16.498947,18.43626
1,18.394403,17.235413,16.78929,16.653522,16.578814,18.394403
1,19.062746,17.89951,17.511795,17.272842,17.244387,19.062746
1,18.953224,17.78552,17.35152,17.209213,17.183344,18.953224
1,18.179806,17.066498,16.642445,16.50883,16.435,18.179806
1,17.123589,16.035357,15.651999,15.551599,15.51271,17.123589
1,19.232891,17.649616,17.054348,16.864725,16.735083,19.232891
1,18.93286,17.554209,17.032518,16.869717,16.803877,18.93286
1,17.793165,16.695894,16.22763,16.03117,16.036049,17.793165
1,18.650848,17.509714,17.116526,17.01412,16.950243,18.650848
1,18.62565,17.655275,17.309042,17.152243,17.137808,18.62565
1,19.49411,17.94716,17.35684,17.131859,17.05666,19.49411
1,18.579199,16.63127,15.86782,15.614303,15.480698,18.579199
1,18.952047,17.81208,17.368101,17.226425,17.095352,18.952047
1,19.376585,17.907139,17.278353,17.010603,16.875582,19.376585
1,17.96306,16.775002,16.343277,16.234774,16.14705,17.96306
1,19.197567,17.507092,16.837942,16.584318,16.458975,19.197567
1,18.132019,16.643295,16.02829,15.80868,15.706031,18.132019
1,18.303764,16.911543,16.379385,16.17708,16.092476,18.303764
1,18.442278,17.12655,16.592566,16.434902,16.348404,18.442278
1,18.97894,17.328272,16.7185,16.548409,16.41676,18.97894
1,19.455751,17.921257,17.384136,17.17513,17.05324,19.455751
1,19.752842,17.92096,17.285734,17.007961,16.871536,19.752842
1,18.766745,17.40676,17.102024,16.9842,16.90887,18.766745
1,19.779596,17.146374,15.87722,15.302592,15.02189,19.779596
1,19.250666,17.736305,17.139166,16.926266,16.79268,19.250666
1,19.423647,17.92377,17.366001,17.145699,16.980682,19.423647
1,17.336784,15.944209,15.435458,15.355819,15.135395,17.336784
1,19.103422,17.344015,16.729445,16.499723,16.394775,19.103422
1,19.881893,17.441557,16.383078,15.965029,15.754816,19.881893
1,17.83244,16.477749,15.977764,15.811205,15.735384,17.83244
1,20.088772,17.446987,16.13333,15.597601,15.339636,20.088772
1,18.660736,17.534935,17.086147,16.915903,16.86886,18.660736
1,18.934088,17.867516,17.532606,17.38788,17.330013,18.934088
1,19.482952,17.583656,16.8571,16.624548,16.442873,19.482952
1,19.084204,16.882187,16.022017,15.710164,15.552855,19.084204
1,18.749594,16.518024,15.644648,15.323376,15.166621,18.749594
1,18.80663,17.548122,17.090483,16.921259,16.85136,18.80663
1,17.152193,15.964345,15.509356,15.342072,15.314282,17.152193
1,18.723679,17.730957,17.33216,17.206144,17.134098,18.723679
1,18.994005,17.922482,17.503487,17.369152,17.34697,18.994005
1,18.983961,17.287148,16.581959,16.34017,16.171309,18.983961
1,17.499489,16.272158,15.802229,15.644176,15.645781,17.499489
1,17.249767,15.891166,15.375118,15.204101,15.147026,17.249767
1,17.15349,15.896464,15.361351,15.176961,15.082554,17.15349
1,19.186535,17.18551,16.422634,16.134476,16.002449,19.186535
1,19.053947,17.30781,16.600298,16.349115,16.193506,19.053947
1,19.26831,17.978745,17.548882,17.420912,17.358253,19.26831
1,17.94514,16.203043,15.950604,15.825637,15.68343,17.94514
1,17.481787,16.255314,15.816139,15.711328,15.60539,17.481787
1,20.503483,17.873653,16.586437,15.793768,15.293203,20.503483
1,17.88164,16.731634,16.316042,16.158543,16.156834,17.88164
1,17.496605,16.353357,15.936577,15.780431,15.751756,17.496605
1,19.389793,17.975187,17.448269,17.275938,17.187933,19.389793
1,20.237015,17.525728,16.228024,15.536757,15.202822,20.237015
1,19.174877,17.794746,17.173918,16.930126,16.840382,19.174877
1,20.400213,17.942585,16.798983,16.36543,16.136934,20.400213
1,19.23436,17.380968,16.502785,16.225994,16.085304,19.23436
1,20.135412,17.70749,16.611048,16.577177,15.982297,20.135412
1,18.00607,16.995459,16.661377,16.501657,16.505838,18.00607
1,18.023684,16.619144,16.012417,15.805654,15.737241,18.023684
1,18.824762,17.511292,17.015596,16.832129,16.754276,18.824762
1,18.841215,16.729528,15.909443,15.632228,15.479025,18.841215
1,17.595472,16.568338,16.206139,16.124573,16.131151,17.595472
1,20.409185,17.80571,16.615685,16.168688,15.936159,20.409185
1,17.367723,15.914138,15.28672,15.072874,15.01823,17.367723
1,19.384193,17.797716,17.141964,17.100782,16.882828,19.384193
1,17.787107,16.604422,16.268597,16.137169,16.07452,17.787107
1,19.055506,17.359293,16.68466,16.433636,16.247105,19.055506
1,20.10329,17.872929,16.877972,16.485178,16.226734,20.10329
1,18.657906,17.024488,16.415005,16.162176,16.059052,18.657906
1,17.488636,16.085932,15.571505,15.372384,15.315258,17.488636
1,17.70761,16.565285,16.231255,16.059912,16.032211,17.70761
1,20.46399,17.892267,16.68362,16.1989,15.948688,20.46399
1,18.790525,17.631023,17.117683,16.930017,16.81877,18.790525
1,19.400314,17.06254,15.875041,15.402014,15.113605,19.400314
1,17.39809,16.349453,16.00468,15.872499,15.851494,17.39809
1,19.6921,17.625172,16.730362,16.397987,16.242527,19.6921
1,18.249794,17.420202,17.12022,17.025192,17.021736,18.249794
1,18.832575,16.613539,15.677734,15.32858,15.124675,18.832575
1,17.885233,16.187033,15.503856,15.220114,15.105505,17.885233
1,17.843359,16.67181,16.179054,16.006613,15.943502,17.843359
1,18.96301,17.101898,16.399706,16.198986,16.094477,18.96301
1,18.42685,16.832335,16.18974,15.938438,15.758739,18.42685
1,18.42628,17.263525,17.157673,17.149496,17.139128,18.42628
1,19.845121,17.841389,16.989408,16.713627,16.545074,19.845121
1,17.467958,16.352345,16.22999,16.221395,16.28884,17.467958
1,19.287737,17.996302,17.517662,17.284685,17.211569,19.287737
1,19.116852,16.799809,15.859614,15.524484,15.393232,19.116852
1,19.398664,17.935041,17.464102,17.28584,17.150537,19.398664
1,17.970995,16.734135,16.10115,15.862271,15.726251,17.970995
1,18.260427,17.285263,17.000877,16.89847,16.908587,18.260427
1,18.910069,17.82903,17.40718,17.309084,17.325712,18.910069
1,18.023329,16.698467,16.237244,16.074339,16.084467,18.023329
1,17.151052,15.980442,15.595318,15.420118,15.416551,17.151052
1,17.763105,16.824106,16.532103,16.44904,16.408432,17.763105
1,19.634912,17.992746,17.415419,17.169584,17.10846,19.634912
1,18.73697,17.718315,17.432987,17.34148,17.332966,18.73697
1,19.952267,17.541931,16.468027,16.061766,15.859344,19.952267
1,18.416353,16.89228,16.273548,16.067072,15.989591,18.416353
1,17.515812,16.384094,16.006588,15.899467,15.884932,17.515812
1,17.491035,16.426348,16.044113,15.900999,15.835687,17.491035
1,17.420198,16.451403,16.102257,15.96142,15.936837,17.420198
1,19.174944,17.313145,16.587185,16.371233,16.24189,19.174944
1,19.176699,17.6694,17.0924,16.870016,16.817024,19.176699
1,18.246641,17.363926,17.051323,16.920849,16.930452,18.246641
1,19.53152,17.641731,16.929344,16.657555,16.5414,19.53152
1,18.476301,17.472837,17.08972,16.923452,16.884226,18.476301
1,18.337729,17.4241,17.100874,16.987173,16.938597,18.337729
1,19.546494,17.990366,17.404547,17.191648,17.047855,19.546494
1,18.76184,17.503422,17.11912,16.908974,16.831472,18.76184
1,19.252193,17.383478,16.689484,16.456768,16.311508,19.252193
1,17.297617,15.897597,15.384308,15.171724,15.089793,17.297617
1,17.78932,16.624619,16.197834,16.00149,15.940591,17.78932
1,19.989885,17.676584,16.596758,16.172873,15.917861,19.989885
1,17.669193,16.257778,15.715383,15.540572,15.452482,17.669193
1,18.257624,17.36679,17.152891,17.067158,17.043743,18.257624
1,17.402832,16.101013,15.64807,15.491305,15.448141,17.402832
1,19.703016,17.163248,16.048416,15.625725,15.387624,19.703016
1,18.647724,17.158628,16.636871,16.48013,16.396942,18.647724
1,18.63857,17.57417,17.174038,16.937237,16.812819,18.63857
1,19.470884,17.852026,17.231468,16.9848,16.880995,19.470884
1,19.742249,17.30178,16.058004,15.811768,15.2416,19.742249
1,18.028929,17.207388,16.961063,16.859835,16.851948,18.028929
1,17.007505,15.673067,15.218996,15.047653,15.010244,17.007505
1,19.254694,17.533705,16.895414,16.635454,16.543959,19.254694
1,18.01896,16.43387,15.875058,15.657537,15.560273,18.01896
1,17.822327,16.879827,16.615997,16.364775,16.454554,17.822327
1,17.65463,16.503078,16.117283,15.990913,15.946107,17.65463
1,18.151237,17.060843,16.607548,16.497458,16.462753,18.151237
1,19.740852,17.201477,16.071045,15.604674,15.337404,19.740852
1,18.262203,16.787884,16.21885,16.004572,15.883739,18.262203
1,19.451185,17.055138,15.910319,15.447351,15.160594,19.451185
1,18.54879,16.657784,15.909431,15.620525,15.486176,18.54879
1,19.317644,17.153637,16.278784,15.971648,15.809527,19.317644
1,18.196257,16.860237,16.271702,16.034042,15.933207,18.196257
1,17.208824,15.813915,15.293736,15.100546,15.071459,17.208824
1,20.264194,17.60454,16.425838,15.962483,15.73985,20.264194
1,19.53094,17.389975,16.490707,16.145676,15.967927,19.53094
1,16.294054,15.317455,15.546171,15.739834,15.880786,16.294054
1,19.497547,17.237108,16.341982,16.05649,15.852234,19.497547
1,19.06338,16.988064,16.181866,15.878822,15.744311,19.06338
1,20.098162,17.689785,16.751997,16.45145,16.273062,20.098162
1,18.978601,17.650991,17.193914,17.016266,16.945332,18.978601
1,18.395088,16.289421,15.489154,15.268843,15.106847,18.395088
1,19.025648,17.457897,16.822998,16.59811,16.529314,19.025648
1,19.492983,17.855389,17.26245,17.025621,16.9719,19.492983
1,18.637772,16.887695,16.296143,16.068987,16.0114,18.637772
1,20.568546,17.979597,16.602234,15.974279,15.682179,20.568546
1,19.803318,17.240625,16.04547,15.562841,15.31417,19.803318
1,18.266321,17.13036,16.73858,16.604631,16.54672,18.266321
1,17.089048,15.891239,15.431193,15.271554,15.204518,17.089048
1,18.638376,17.610178,17.252861,17.13165,17.10287,18.638376
1,18.348991,17.238722,16.850819,16.700289,16.688478,18.348991
1,19.21996,17.836367,17.237389,16.952602,16.769085,19.21996
1,18.487879,16.447447,15.693547,15.49509,15.370727,18.487879
1,19.7472,17.810575,16.9725,16.665668,16.483309,19.7472
1,20.302536,17.7438,16.604986,16.165895,15.976555,20.302536
1,20.033268,17.691122,16.752842,16.440458,16.259335,20.033268
1,18.638247,17.667896,17.35953,17.288185,17.24579,18.638247
1,17.31722,16.125269,15.716519,15.579709,15.550019,17.31722
1,18.222511,17.022911,16.554575,16.370525,16.331446,18.222511
1,19.61694,17.730986,17.02383,16.80836,16.683105,19.61694
1,18.802103,17.692945,17.253012,17.059837,17.04804,18.802103
1,18.935741,16.795208,15.908393,15.605602,15.359076,18.935741
1,17.499775,16.093884,15.626471,15.537843,15.439648,17.499775
1,18.23439,16.678661,16.11187,15.964328,15.829942,18.23439
1,18.061407,16.83519,16.407326,16.273441,16.14329,18.061407
1,19.792896,17.533644,16.461405,16.156353,15.86552,19.792896
1,18.076893,16.352783,15.688457,15.573179,15.352135,18.076893
1,19.632895,17.48685,16.604105,16.468664,15.978802,19.632895
1,17.62419,16.624008,16.21117,16.097965,16.015339,17.62419
1,18.067837,16.947937,16.48844,16.339731,16.30985,18.067837
1,17.867407,16.924498,16.626562,16.592186,16.433727,17.867407
1,18.672066,16.897436,16.226828,16.04442,15.816936,18.672066
1,19.182827,17.887308,17.42335,17.263401,17.158182,19.182827
1,17.720837,16.486666,16.065762,15.95564,15.896996,17.720837
1,17.740414,16.785755,16.470888,16.31868,16.23431,17.740414
1,19.125458,17.419739,16.725847,16.563421,16.373209,19.125458
1,18.531013,17.009296,16.474617,16.28189,16.214756,18.531013
1,19.214739,17.949879,17.40185,17.214352,17.107134,19.214739
1,19.019958,17.29618,16.63734,16.404167,16.259836,19.019958
1,18.45263,17.56737,17.300194,17.191761,17.134457,18.45263
1,19.07222,16.853857,16.00558,15.668274,15.498866,19.07222
1,19.793541,17.544245,16.60979,16.253849,16.019415,19.793541
1,19.713955,17.335407,16.211073,15.747266,15.523042,19.713955
1,18.222101,17.235054,16.907923,16.771595,16.796965,18.222101
1,20.158283,17.695076,16.672285,16.271067,16.090622,20.158283
1,19.58213,17.019508,15.904145,15.461164,15.23178,19.58213
1,18.777578,17.096125,16.474699,16.222845,16.093683,18.777578
1,18.141317,16.594248,15.998691,15.79165,15.705891,18.141317
1,18.710232,16.92782,16.24419,15.981517,15.860128,18.710232
1,18.75329,17.710375,17.317974,17.173494,17.102383,18.75329
1,19.752314,17.645485,16.679583,16.311556,16.09298,19.752314
1,18.23597,16.529772,15.895435,15.664949,15.552238,18.23597
1,18.628057,17.134869,16.657652,16.478561,16.460073,18.628057
1,17.942278,16.679144,16.154026,16.052113,15.97244,17.942278
1,20.306307,17.808884,16.71329,16.341085,16.078701,20.306307
1,19.03526,17.783863,17.35795,17.215143,17.110527,19.03526
1,17.158758,15.995026,15.531819,15.360203,15.286382,17.158758
1,18.550722,17.236786,16.759722,16.607527,16.520035,18.550722
1,18.102571,16.695065,16.18018,15.992141,15.912119,18.102571
1,20.473753,17.754686,16.374033,15.505946,15.094742,20.473753
1,17.261253,15.931702,15.465967,15.277593,15.198275,17.261253
1,16.987362,15.778663,15.377559,15.200458,15.145887,16.987362
1,18.24246,17.246765,16.922928,16.776539,16.736692,18.24246
1,18.99311,17.300337,16.618069,16.353321,16.220486,18.99311
1,19.278984,17.949158,17.440208,17.240986,17.167555,19.278984
1,18.318483,17.30247,16.91101,16.702223,16.767767,18.318483
1,18.029846,16.609247,16.045979,15.825087,15.76216,18.029846
1,18.955168,16.807302,15.940359,15.593434,15.422637,18.955168
1,19.52972,17.035717,15.937654,15.467368,15.343714,19.52972
1,19.449718,17.10616,16.10884,15.68167,15.590215,19.449718
1,18.497896,17.30388,16.816177,16.606813,16.517912,18.497896
1,18.582943,17.45061,17.036676,16.882175,16.824741,18.582943
1,17.707335,16.290253,15.784471,15.613059,15.531791,17.707335
1,18.389511,17.096128,16.656507,16.498333,16.43205,18.389511
1,19.027462,17.914204,17.521858,17.400206,17.348549,19.027462
